tree,m,eta_L,valid_L,eta_B,valid_B
random_tree_001,1000,999.0000,1,2.2258,0
random_tree_002,1000,999.0000,1,2.2895,1
random_tree_003,1000,999.0000,1,2.9216,1
random_tree_004,1000,999.0000,1,2.2895,0
random_tree_005,1000,999.0000,1,1.3585,0
random_tree_006,1000,999.0000,1,1.2075,0
random_tree_007,1000,999.0000,1,1.3419,1
random_tree_008,1000,999.0000,1,3.0323,0
random_tree_009,1000,999.0000,1,1.8409,1
random_tree_010,1000,999.0000,1,1.9070,0
random_tree_011,1000,999.0000,1,1.2472,1
random_tree_012,1000,999.0000,1,1.2222,0
random_tree_013,1000,499.0000,1,1.7701,1
random_tree_014,1000,999.0000,1,1.6954,0
random_tree_015,1000,999.0000,1,1.3148,0
random_tree_016,1000,999.0000,1,2.5714,0
random_tree_017,1000,999.0000,1,3.0486,0
random_tree_018,1000,999.0000,1,2.0395,1
random_tree_019,1000,999.0000,1,1.7701,1
random_tree_020,1000,999.0000,1,1.1368,0
random_tree_021,1000,999.0000,1,1.2026,0
random_tree_022,1000,999.0000,1,2.9370,0
random_tree_023,1000,999.0000,1,1.1008,1
random_tree_024,1000,999.0000,1,2.3333,0
random_tree_025,1000,999.0000,1,3.0984,0
random_tree_026,1000,999.0000,1,1.6810,1
random_tree_027,1000,999.0000,1,1.0121,1
random_tree_028,1000,499.0000,1,1.7027,1
random_tree_029,1000,999.0000,1,2.9370,0
random_tree_030,1000,999.0000,1,1.5000,0
random_tree_031,1000,999.0000,1,1.2272,0
random_tree_032,1000,999.0000,1,1.0877,0
random_tree_033,1000,999.0000,1,2.4364,0
random_tree_034,1000,999.0000,1,1.2472,0
random_tree_035,1000,999.0000,1,1.3364,1
random_tree_036,1000,499.0000,1,1.3202,0
random_tree_037,1000,999.0000,1,1.1008,1
random_tree_038,1000,999.0000,1,1.7855,0
random_tree_039,1000,999.0000,1,1.0367,0
random_tree_040,1000,999.0000,1,1.2573,1
random_tree_041,1000,999.0000,1,1.3981,0
random_tree_042,1000,499.0000,1,1.6810,1
random_tree_043,1000,999.0000,1,2.9526,0
random_tree_044,1000,999.0000,1,2.6232,0
random_tree_045,1000,499.0000,1,1.1978,0
random_tree_046,1000,999.0000,1,2.2468,0
random_tree_047,1000,999.0000,1,1.8409,0
random_tree_048,1000,999.0000,1,2.8760,1
random_tree_049,1000,499.0000,1,1.0121,1
random_tree_050,1000,499.0000,1,2.8168,1
random_tree_051,1000,999.0000,1,1.1322,0
random_tree_052,1000,999.0000,1,2.3557,1
random_tree_053,1000,999.0000,1,2.5461,0
random_tree_054,1000,999.0000,1,1.3364,1
random_tree_055,1000,999.0000,1,1.5445,1
random_tree_056,1000,499.0000,0,4.7803,0
random_tree_057,1000,999.0000,1,2.4483,0
random_tree_058,1000,999.0000,1,2.5211,0
random_tree_059,1000,999.0000,1,2.2895,0
random_tree_060,1000,999.0000,1,1.4752,1
random_tree_061,1000,999.0000,1,1.0921,0
random_tree_062,1000,999.0000,1,1.9674,1
random_tree_063,1000,999.0000,1,2.8610,1
random_tree_064,1000,999.0000,1,1.2075,1
random_tree_065,1000,999.0000,1,1.0121,1
random_tree_066,1000,999.0000,1,1.8329,1
