# 1 tree(s) swept on a different p-grid are not included
p,n_trees,nmi_L_median,nmi_B_median,ari_L_median,ari_B_median,agreement_L_median,agreement_B_median,dot_L_median,dot_B_median,sign_L_median,nmi_L_std,nmi_B_std,ari_L_std,ari_B_std,agreement_L_std,agreement_B_std,dot_L_std,dot_B_std,sign_L_std
0.01,1,0.000212,0.042743,-0.001499,0.086315,99.600000,65.500000,0.002426,0.111035,15.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.016681,1,0.000212,0.231540,-0.001499,0.287311,99.600000,76.900000,0.005251,0.728383,21.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.027826,1,0.000212,0.439652,-0.001499,0.573938,99.600000,88.100000,0.013597,0.921348,29.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.046416,1,0.000179,0.443153,-0.001334,0.574409,99.700000,88.100000,0.005483,0.970801,38.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.077426,1,0.000179,0.574862,-0.001334,0.712249,99.700000,92.400000,0.006131,0.986141,57.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.129155,1,0.000179,0.594602,-0.001334,0.724854,99.700000,92.800000,0.004819,0.992744,40.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.215443,1,0.000212,0.704538,-0.001499,0.820264,99.600000,95.400000,0.016086,0.996219,42.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.359381,1,0.000212,0.705231,-0.001499,0.820095,99.600000,95.400000,0.043302,0.998192,41.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.599484,1,0.583937,0.814333,0.665553,0.900327,99.900000,97.500000,0.900897,0.999347,60.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1,1.000000,1.000000,1.000000,1.000000,100.000000,100.000000,1.000000,1.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
