cohort,tree,p,nmi_L,nmi_B,ari_L,ari_B,agreement_L,agreement_B,dot_L,dot_B,nmi_gt_L,nmi_gt_B,ari_gt_L,ari_gt_B,agreement_gt_L,agreement_gt_B,sign_L
1000 taxa,random_tree_001,0.0001,0.000270,0.000493,-0.001709,0.001338,99.300000,69.000000,0.000414,0.003082,0.000472,0.000278,-0.002991,-0.002000,99.200000,99.600000,25.900000
1000 taxa,random_tree_001,0.002154,0.000423,0.003247,-0.001881,-0.016018,97.000000,65.800000,0.000962,0.091848,0.000809,0.001002,-0.003643,-0.003646,96.900000,94.200000,16.700000
1000 taxa,random_tree_001,0.046416,0.000127,0.424771,-0.001001,0.537080,99.800000,86.800000,0.001741,0.921124,0.000179,0.000195,-0.001334,0.000533,99.700000,62.600000,30.400000
1000 taxa,random_tree_001,1,1.000000,1.000000,1.000000,1.000000,100.000000,100.000000,1.000000,1.000000,0.000179,0.002346,-0.001334,-0.002192,99.700000,68.800000,100.000000
1000 taxa,random_tree_002,0.0001,0.000127,0.007591,-0.001001,0.005158,99.800000,69.800000,0.000242,0.061027,0.000212,0.000345,-0.001499,-0.002399,99.600000,99.500000,18.900000
1000 taxa,random_tree_002,0.002154,0.000127,0.000767,-0.001001,0.009336,99.800000,67.400000,0.000302,0.054058,0.000212,0.001608,-0.001499,-0.005336,99.600000,92.500000,81.000000
1000 taxa,random_tree_002,0.046416,0.000127,0.532405,-0.001001,0.657272,99.800000,90.700000,0.000416,0.937255,0.000212,0.000003,-0.001499,-0.000107,99.600000,65.400000,30.800000
1000 taxa,random_tree_002,1,1.000000,1.000000,1.000000,1.000000,100.000000,100.000000,1.000000,1.000000,0.000212,0.003432,-0.001499,-0.003348,99.600000,69.300000,100.000000
6000 taxa,random_tree_0001,0.0001,0.000206,0.000036,-0.000175,-0.000041,67.750000,51.266667,0.011616,0.016442,0.000057,0.001139,-0.000325,-0.006600,99.050000,98.550000,48.900000
6000 taxa,random_tree_0001,0.002154,0.000599,0.005626,0.000367,0.007931,67.783333,54.500000,0.025503,0.083572,0.000057,0.000028,-0.000325,0.000139,99.050000,54.116667,66.550000
6000 taxa,random_tree_0001,0.046416,0.000599,0.592406,0.000367,0.700519,67.783333,91.850000,0.037235,0.979714,0.000057,0.004612,-0.000325,-0.000428,99.050000,50.700000,66.883333
6000 taxa,random_tree_0001,1,1.000000,1.000000,1.000000,1.000000,100.000000,100.000000,1.000000,1.000000,0.010718,0.010435,-0.009395,-0.000568,66.833333,50.516667,100.000000
6000 taxa,random_tree_0002,0.0001,0.000039,0.000034,-0.000300,0.000159,99.833333,58.133333,0.000087,0.015081,0.000024,0.000082,-0.000222,-0.000587,99.950000,99.716667,49.283333
6000 taxa,random_tree_0002,0.002154,0.000039,0.000860,-0.000300,0.004399,99.833333,57.666667,0.031899,0.001969,0.000024,0.000193,-0.000222,-0.000610,99.950000,92.416667,60.850000
6000 taxa,random_tree_0002,0.046416,0.000039,0.537579,-0.000300,0.640408,99.833333,90.016667,0.000289,0.866419,0.000024,0.000590,-0.000222,-0.000103,99.950000,54.166667,60.733333
6000 taxa,random_tree_0002,1,1.000000,1.000000,1.000000,1.000000,100.000000,100.000000,1.000000,1.000000,0.000070,0.000529,-0.000545,-0.000187,99.816667,58.116667,100.000000
