cohort,p,n_trees,nmi_L_median,nmi_L_std,nmi_B_median,nmi_B_std,ari_L_median,ari_L_std,ari_B_median,ari_B_std,agreement_L_median,agreement_L_std,agreement_B_median,agreement_B_std,dot_L_median,dot_L_std,dot_B_median,dot_B_std,nmi_gt_L_median,nmi_gt_L_std,nmi_gt_B_median,nmi_gt_B_std,ari_gt_L_median,ari_gt_L_std,ari_gt_B_median,ari_gt_B_std,agreement_gt_L_median,agreement_gt_L_std,agreement_gt_B_median,agreement_gt_B_std,sign_L_median,sign_L_std
1000 taxa,0.0001,2,0.000277,0.000007,0.001459,0.001179,-0.001726,0.000017,0.002785,0.001224,99.250000,0.050000,69.300000,0.400000,0.001677,0.000017,0.007097,0.000654,0.000567,0.000066,0.000440,0.000002,-0.003543,0.000444,-0.002924,0.000073,99.100000,0.000000,99.350000,0.050000,34.400000,8.400000
1000 taxa,0.001,2,0.000418,0.000148,0.003827,0.003827,-0.001765,0.000056,0.005321,0.005247,95.900000,3.400000,69.150000,0.750000,0.005821,0.000986,0.053351,0.021218,0.000870,0.000236,0.000674,0.000005,-0.003792,0.000196,-0.003847,0.000337,95.750000,3.350000,98.600000,0.400000,47.500000,0.900000
1000 taxa,0.01,2,0.000179,0.000000,0.043145,0.041341,-0.001334,0.000000,0.009794,0.005295,99.700000,0.000000,56.200000,2.100000,0.001418,0.000594,0.201203,0.167428,0.000312,0.000034,0.002010,0.001982,-0.002199,0.000199,-0.001257,0.001327,99.550000,0.050000,59.250000,4.350000,17.150000,5.150000
1000 taxa,0.1,2,0.000153,0.000026,0.704939,0.137668,-0.001167,0.000166,0.803130,0.108991,99.750000,0.050000,94.800000,3.000000,0.004620,0.001368,0.984844,0.000001,0.000262,0.000083,0.003060,0.000521,-0.001866,0.000532,-0.002538,0.000609,99.600000,0.100000,66.750000,0.950000,40.350000,9.750000
1000 taxa,1,2,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,100.000000,0.000000,100.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000196,0.000016,0.002889,0.000543,-0.001417,0.000083,-0.002770,0.000578,99.650000,0.050000,69.050000,0.250000,100.000000,0.000000
6000 taxa,0.01,1,0.001195,0.000000,0.521413,0.000000,0.000735,0.000000,0.630374,0.000000,67.800000,0.000000,89.700000,0.000000,0.058927,0.000000,0.956083,0.000000,0.000112,0.000000,0.003012,0.000000,-0.000638,0.000000,-0.000340,0.000000,99.033333,0.000000,50.716667,0.000000,33.133333,0.000000
6000 taxa,0.016681,1,0.000599,0.000000,0.578563,0.000000,0.000367,0.000000,0.687189,0.000000,67.783333,0.000000,91.450000,0.000000,0.036661,0.000000,0.977236,0.000000,0.000057,0.000000,0.002504,0.000000,-0.000325,0.000000,-0.000398,0.000000,99.050000,0.000000,51.000000,0.000000,66.883333,0.000000
6000 taxa,0.027826,1,0.000599,0.000000,0.644624,0.000000,0.000367,0.000000,0.749337,0.000000,67.783333,0.000000,93.283333,0.000000,0.032206,0.000000,0.987607,0.000000,0.000057,0.000000,0.006718,0.000000,-0.000325,0.000000,-0.000447,0.000000,99.050000,0.000000,50.533333,0.000000,66.883333,0.000000
6000 taxa,0.046416,1,0.001195,0.000000,0.702272,0.000000,0.000735,0.000000,0.800395,0.000000,67.800000,0.000000,94.733333,0.000000,0.059439,0.000000,0.993110,0.000000,0.000112,0.000000,0.004617,0.000000,-0.000638,0.000000,-0.000422,0.000000,99.033333,0.000000,50.683333,0.000000,67.250000,0.000000
6000 taxa,0.077426,1,0.000206,0.000000,0.781837,0.000000,-0.000175,0.000000,0.865498,0.000000,67.750000,0.000000,96.516667,0.000000,0.045709,0.000000,0.996029,0.000000,0.000057,0.000000,0.009328,0.000000,-0.000325,0.000000,-0.000601,0.000000,99.050000,0.000000,50.633333,0.000000,41.783333,0.000000
6000 taxa,0.129155,1,0.000206,0.000000,0.805707,0.000000,-0.000175,0.000000,0.883581,0.000000,67.750000,0.000000,97.000000,0.000000,0.030686,0.000000,0.997787,0.000000,0.000057,0.000000,0.008487,0.000000,-0.000325,0.000000,-0.000391,0.000000,99.050000,0.000000,50.316667,0.000000,41.533333,0.000000
6000 taxa,0.215443,1,0.000411,0.000000,0.841174,0.000000,-0.000349,0.000000,0.909465,0.000000,67.733333,0.000000,97.683333,0.000000,0.045622,0.000000,0.998841,0.000000,0.000112,0.000000,0.009434,0.000000,-0.000638,0.000000,-0.000447,0.000000,99.033333,0.000000,50.366667,0.000000,40.733333,0.000000
6000 taxa,0.359381,1,0.000411,0.000000,0.875874,0.000000,-0.000349,0.000000,0.933145,0.000000,67.733333,0.000000,98.300000,0.000000,0.049005,0.000000,0.999415,0.000000,0.000112,0.000000,0.010517,0.000000,-0.000638,0.000000,-0.000447,0.000000,99.033333,0.000000,50.316667,0.000000,65.516667,0.000000
6000 taxa,0.599484,1,1.000000,0.000000,0.923626,0.000000,1.000000,0.000000,0.963009,0.000000,100.000000,0.000000,99.066667,0.000000,0.892659,0.000000,0.999779,0.000000,0.010718,0.000000,0.010435,0.000000,-0.009395,0.000000,-0.000568,0.000000,66.833333,0.000000,50.516667,0.000000,99.983333,0.000000
6000 taxa,1,1,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,100.000000,0.000000,100.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.010718,0.000000,0.010435,0.000000,-0.009395,0.000000,-0.000568,0.000000,66.833333,0.000000,50.516667,0.000000,100.000000,0.000000
