cohort,tree,p,nmi_L,nmi_B,ari_L,ari_B,agreement_L,agreement_B,dot_L,dot_B,nmi_gt_L,nmi_gt_B,ari_gt_L,ari_gt_B,agreement_gt_L,agreement_gt_B,sign_L
1000 taxa,random_tree_002,0.0001,0.000270,0.002638,-0.001709,0.004009,99.300000,69.700000,0.001659,0.006443,0.000633,0.000442,-0.003988,-0.002997,99.100000,99.400000,42.800000
1000 taxa,random_tree_002,0.001,0.000270,0.007654,-0.001709,0.010568,99.300000,69.900000,0.006807,0.074569,0.000633,0.000679,-0.003988,-0.004184,99.100000,99.000000,46.600000
1000 taxa,random_tree_002,0.01,0.000179,0.084486,-0.001334,0.015090,99.700000,58.300000,0.002012,0.368632,0.000345,0.003992,-0.002399,-0.002584,99.500000,63.600000,22.300000
1000 taxa,random_tree_002,0.1,0.000179,0.842607,-0.001334,0.912121,99.700000,97.800000,0.003252,0.984846,0.000345,0.003581,-0.002399,-0.003147,99.500000,67.700000,30.600000
1000 taxa,random_tree_002,1,1.000000,1.000000,1.000000,1.000000,100.000000,100.000000,1.000000,1.000000,0.000212,0.003432,-0.001499,-0.003348,99.600000,69.300000,100.000000
1000 taxa,random_tree_003,0.0001,0.000270,0.001858,-0.001709,0.004994,99.300000,74.500000,0.001130,0.038699,0.001161,0.000886,-0.006820,-0.005308,98.600000,98.800000,6.100000
1000 taxa,random_tree_003,0.001,0.000712,0.007451,-0.001688,0.012599,86.700000,74.700000,0.004960,0.082288,0.005208,0.001161,-0.012860,-0.006820,86.000000,98.600000,55.600000
1000 taxa,random_tree_003,0.01,0.000179,0.248914,-0.001334,0.383434,99.700000,81.900000,0.002383,0.381739,0.000527,0.002138,-0.003184,-0.005198,99.000000,69.200000,12.100000
1000 taxa,random_tree_003,0.1,0.000127,1.000000,-0.001001,1.000000,99.800000,100.000000,0.063804,0.988384,0.000295,0.007702,-0.001768,-0.010197,99.100000,73.700000,48.400000
1000 taxa,random_tree_003,1,1.000000,1.000000,1.000000,1.000000,100.000000,100.000000,1.000000,1.000000,0.000295,0.007702,-0.001768,-0.010197,99.100000,73.700000,100.000000
6000 taxa,random_tree_0001,0.01,0.001195,0.521413,0.000735,0.630374,67.800000,89.700000,0.058927,0.956083,0.000112,0.003012,-0.000638,-0.000340,99.033333,50.716667,33.133333
6000 taxa,random_tree_0001,0.016681,0.000599,0.578563,0.000367,0.687189,67.783333,91.450000,0.036661,0.977236,0.000057,0.002504,-0.000325,-0.000398,99.050000,51.000000,66.883333
6000 taxa,random_tree_0001,0.027826,0.000599,0.644624,0.000367,0.749337,67.783333,93.283333,0.032206,0.987607,0.000057,0.006718,-0.000325,-0.000447,99.050000,50.533333,66.883333
6000 taxa,random_tree_0001,0.046416,0.001195,0.702272,0.000735,0.800395,67.800000,94.733333,0.059439,0.993110,0.000112,0.004617,-0.000638,-0.000422,99.033333,50.683333,67.250000
6000 taxa,random_tree_0001,0.077426,0.000206,0.781837,-0.000175,0.865498,67.750000,96.516667,0.045709,0.996029,0.000057,0.009328,-0.000325,-0.000601,99.050000,50.633333,41.783333
6000 taxa,random_tree_0001,0.129155,0.000206,0.805707,-0.000175,0.883581,67.750000,97.000000,0.030686,0.997787,0.000057,0.008487,-0.000325,-0.000391,99.050000,50.316667,41.533333
6000 taxa,random_tree_0001,0.215443,0.000411,0.841174,-0.000349,0.909465,67.733333,97.683333,0.045622,0.998841,0.000112,0.009434,-0.000638,-0.000447,99.033333,50.366667,40.733333
6000 taxa,random_tree_0001,0.359381,0.000411,0.875874,-0.000349,0.933145,67.733333,98.300000,0.049005,0.999415,0.000112,0.010517,-0.000638,-0.000447,99.033333,50.316667,65.516667
6000 taxa,random_tree_0001,0.599484,1.000000,0.923626,1.000000,0.963009,100.000000,99.066667,0.892659,0.999779,0.010718,0.010435,-0.009395,-0.000568,66.833333,50.516667,99.983333
6000 taxa,random_tree_0001,1,1.000000,1.000000,1.000000,1.000000,100.000000,100.000000,1.000000,1.000000,0.010718,0.010435,-0.009395,-0.000568,66.833333,50.516667,100.000000
6000 taxa,random_tree_0002,0.01,0.000039,0.003498,-0.000300,0.001497,99.833333,52.300000,0.013949,0.058156,0.000024,0.000008,-0.000222,0.000023,99.950000,56.583333,39.183333
6000 taxa,random_tree_0002,0.016681,0.000070,0.024407,-0.000545,0.026294,99.816667,58.166667,0.234690,0.156352,0.000037,0.000004,-0.000333,0.000012,99.933333,54.683333,60.800000
