cohort,m,tree,eta_L,valid_L,eta_B,valid_B
1000 taxa,1000,random_tree_001,999.0000,1,2.2258,0
1000 taxa,1000,random_tree_002,999.0000,1,2.2895,1
1000 taxa,1000,random_tree_003,999.0000,1,2.9216,1
1000 taxa,1000,random_tree_004,999.0000,1,2.2895,0
1000 taxa,1000,random_tree_005,999.0000,1,1.3585,0
1000 taxa,1000,random_tree_006,999.0000,1,1.2075,0
1000 taxa,1000,random_tree_007,999.0000,1,1.3419,1
1000 taxa,1000,random_tree_008,999.0000,1,3.0323,0
1000 taxa,1000,random_tree_009,999.0000,1,1.8409,1
1000 taxa,1000,random_tree_010,999.0000,1,1.9070,0
1000 taxa,1000,random_tree_011,999.0000,1,1.2472,1
1000 taxa,1000,random_tree_012,999.0000,1,1.2222,0
1000 taxa,1000,random_tree_013,499.0000,1,1.7701,1
1000 taxa,1000,random_tree_014,999.0000,1,1.6954,0
1000 taxa,1000,random_tree_015,999.0000,1,1.3148,0
1000 taxa,1000,random_tree_016,999.0000,1,2.5714,0
1000 taxa,1000,random_tree_017,999.0000,1,3.0486,0
1000 taxa,1000,random_tree_018,999.0000,1,2.0395,1
1000 taxa,1000,random_tree_019,999.0000,1,1.7701,1
1000 taxa,1000,random_tree_020,999.0000,1,1.1368,0
1000 taxa,1000,random_tree_021,999.0000,1,1.2026,0
1000 taxa,1000,random_tree_022,999.0000,1,2.9370,0
1000 taxa,1000,random_tree_023,999.0000,1,1.1008,1
1000 taxa,1000,random_tree_024,999.0000,1,2.3333,0
1000 taxa,1000,random_tree_025,999.0000,1,3.0984,0
1000 taxa,1000,random_tree_026,999.0000,1,1.6810,1
1000 taxa,1000,random_tree_027,999.0000,1,1.0121,1
1000 taxa,1000,random_tree_028,499.0000,1,1.7027,1
1000 taxa,1000,random_tree_029,999.0000,1,2.9370,0
1000 taxa,1000,random_tree_030,999.0000,1,1.5000,0
1000 taxa,1000,random_tree_031,999.0000,1,1.2272,0
1000 taxa,1000,random_tree_032,999.0000,1,1.0877,0
1000 taxa,1000,random_tree_033,999.0000,1,2.4364,0
1000 taxa,1000,random_tree_034,999.0000,1,1.2472,0
1000 taxa,1000,random_tree_035,999.0000,1,1.3364,1
1000 taxa,1000,random_tree_036,499.0000,1,1.3202,0
1000 taxa,1000,random_tree_037,999.0000,1,1.1008,1
1000 taxa,1000,random_tree_038,999.0000,1,1.7855,0
1000 taxa,1000,random_tree_039,999.0000,1,1.0367,0
1000 taxa,1000,random_tree_040,999.0000,1,1.2573,1
1000 taxa,1000,random_tree_041,999.0000,1,1.3981,0
1000 taxa,1000,random_tree_042,499.0000,1,1.6810,1
1000 taxa,1000,random_tree_043,999.0000,1,2.9526,0
1000 taxa,1000,random_tree_044,999.0000,1,2.6232,0
1000 taxa,1000,random_tree_045,499.0000,1,1.1978,0
1000 taxa,1000,random_tree_046,999.0000,1,2.2468,0
1000 taxa,1000,random_tree_047,999.0000,1,1.8409,0
1000 taxa,1000,random_tree_048,999.0000,1,2.8760,1
1000 taxa,1000,random_tree_049,499.0000,1,1.0121,1
1000 taxa,1000,random_tree_050,499.0000,1,2.8168,1
1000 taxa,1000,random_tree_051,999.0000,1,1.1322,0
1000 taxa,1000,random_tree_052,999.0000,1,2.3557,1
1000 taxa,1000,random_tree_053,999.0000,1,2.5461,0
1000 taxa,1000,random_tree_054,999.0000,1,1.3364,1
1000 taxa,1000,random_tree_055,999.0000,1,1.5445,1
1000 taxa,1000,random_tree_056,499.0000,0,4.7803,0
1000 taxa,1000,random_tree_057,999.0000,1,2.4483,0
1000 taxa,1000,random_tree_058,999.0000,1,2.5211,0
1000 taxa,1000,random_tree_059,999.0000,1,2.2895,0
1000 taxa,1000,random_tree_060,999.0000,1,1.4752,1
1000 taxa,1000,random_tree_061,999.0000,1,1.0921,0
1000 taxa,1000,random_tree_062,999.0000,1,1.9674,1
1000 taxa,1000,random_tree_063,999.0000,1,2.8610,1
1000 taxa,1000,random_tree_064,999.0000,1,1.2075,1
1000 taxa,1000,random_tree_065,999.0000,1,1.0121,1
1000 taxa,1000,random_tree_066,999.0000,1,1.8329,1
6000 taxa,6000,random_tree_0001,2.1024,1,1.0541,0
6000 taxa,6000,random_tree_0002,665.6667,1,1.3895,0
6000 taxa,6000,random_tree_0003,427.5714,1,1.6978,0
6000 taxa,6000,random_tree_0004,2999.0000,1,1.4742,0
6000 taxa,6000,random_tree_0005,49.4202,1,1.5263,0
6000 taxa,6000,random_tree_0006,2.9216,1,1.7561,0
6000 taxa,6000,random_tree_0007,544.4545,1,1.2514,0
6000 taxa,6000,random_tree_0008,239.0000,1,1.4651,0
6000 taxa,6000,random_tree_0009,499.0000,1,2.0045,0
6000 taxa,6000,random_tree_0010,114.3846,1,2.1332,0
6000 taxa,6000,random_tree_0011,1199.0000,1,1.7599,0
6000 taxa,6000,random_tree_0012,427.5714,1,1.0833,0
6000 taxa,6000,random_tree_0013,221.2222,1,1.8050,0
6000 taxa,6000,random_tree_0014,89.9091,0,1.0647,0
6000 taxa,6000,random_tree_0015,175.4706,1,1.3914,0
6000 taxa,6000,random_tree_0016,3.1040,1,1.7199,0
6000 taxa,6000,random_tree_0017,399.0000,1,1.8916,0
6000 taxa,6000,random_tree_0018,27.1690,1,1.0921,0
6000 taxa,6000,random_tree_0019,205.8966,1,1.4184,0
6000 taxa,6000,random_tree_0020,239.0000,1,1.5489,0
6000 taxa,6000,random_tree_0021,126.6596,0,1.2489,0
6000 taxa,6000,random_tree_0022,1.3438,1,1.1060,0
6000 taxa,6000,random_tree_0023,749.0000,1,1.1345,0
6000 taxa,6000,random_tree_0024,314.7895,1,1.1994,0
6000 taxa,6000,random_tree_0025,856.1429,0,1.0284,0
6000 taxa,6000,random_tree_0026,460.5385,1,1.2148,0
6000 taxa,6000,random_tree_0027,499.0000,1,1.0819,0
6000 taxa,6000,random_tree_0028,999.0000,1,2.0288,0
6000 taxa,6000,random_tree_0029,1999.0000,1,1.8944,0
6000 taxa,6000,random_tree_0030,221.2222,1,1.3265,0
6000 taxa,6000,random_tree_0031,35.3636,1,1.2866,0
6000 taxa,6000,random_tree_0032,999.0000,1,1.2701,0
6000 taxa,6000,random_tree_0033,47.0000,1,1.1637,0
6000 taxa,6000,random_tree_0034,221.2222,1,1.2770,0
6000 taxa,6000,random_tree_0035,284.7143,1,1.1954,0
6000 taxa,6000,random_tree_0036,1199.0000,1,1.8626,0
6000 taxa,6000,random_tree_0037,999.0000,1,1.7485,0
6000 taxa,6000,random_tree_0038,2999.0000,1,1.0899,0
6000 taxa,6000,random_tree_0039,102.4483,1,1.3687,0
6000 taxa,6000,random_tree_0040,135.3636,1,2.0242,0
6000 taxa,6000,random_tree_0041,5.5574,0,1.1668,0
6000 taxa,6000,random_tree_0042,1499.0000,1,1.2892,0
6000 taxa,6000,random_tree_0043,74.9494,1,1.5952,0
6000 taxa,6000,random_tree_0044,6.2115,1,2.0105,0
6000 taxa,6000,random_tree_0045,999.0000,1,1.4096,0
6000 taxa,6000,random_tree_0046,856.1429,1,1.4979,0
6000 taxa,6000,random_tree_0047,599.0000,1,1.5084,0
6000 taxa,6000,random_tree_0048,999.0000,1,1.5685,0
6000 taxa,6000,random_tree_0049,544.4545,1,1.3157,0
6000 taxa,6000,random_tree_0050,856.1429,1,1.3734,0
6000 taxa,6000,random_tree_0051,116.6471,1,1.6513,0
6000 taxa,6000,random_tree_0052,460.5385,1,2.0612,0
6000 taxa,6000,random_tree_0053,1.0161,1,1.0182,0
6000 taxa,6000,random_tree_0054,205.8966,1,1.1559,0
6000 taxa,6000,random_tree_0055,749.0000,1,1.2719,0
6000 taxa,6000,random_tree_0056,1999.0000,1,1.1330,0
6000 taxa,6000,random_tree_0057,314.7895,1,1.0325,0
6000 taxa,6000,random_tree_0058,79.0000,1,1.2396,0
6000 taxa,6000,random_tree_0059,314.7895,1,1.4184,0
6000 taxa,6000,random_tree_0060,239.0000,1,1.8275,0
6000 taxa,6000,random_tree_0061,1.0812,1,1.0527,0
6000 taxa,6000,random_tree_0062,45.5116,1,1.0725,0
6000 taxa,6000,random_tree_0063,9.0334,1,1.0711,0
6000 taxa,6000,random_tree_0064,213.2857,1,1.0935,0
6000 taxa,6000,random_tree_0065,460.5385,1,1.5221,0
6000 taxa,6000,random_tree_0066,138.5349,0,1.4410,0
6000 taxa,6000,random_tree_0067,544.4545,1,1.5873,0
6000 taxa,6000,random_tree_0068,8.4937,1,1.0087,0
6000 taxa,6000,random_tree_0069,351.9412,1,2.1662,0
6000 taxa,6000,random_tree_0070,1999.0000,1,1.3762,0
6000 taxa,6000,random_tree_0071,83.5070,1,1.7586,0
6000 taxa,6000,random_tree_0072,65.6667,1,1.2132,0
6000 taxa,6000,random_tree_0073,284.7143,1,1.6098,0
6000 taxa,6000,random_tree_0074,856.1429,1,2.0303,0
6000 taxa,6000,random_tree_0075,156.8947,1,1.0797,0
6000 taxa,6000,random_tree_0076,30.7460,0,1.3139,0
6000 taxa,6000,random_tree_0077,999.0000,1,1.5784,0
6000 taxa,6000,random_tree_0078,460.5385,1,1.0464,0
6000 taxa,6000,random_tree_0079,1999.0000,1,1.4048,0
6000 taxa,6000,random_tree_0080,132.3333,1,1.0311,0
6000 taxa,6000,random_tree_0081,271.7273,1,1.2497,0
6000 taxa,6000,random_tree_0082,27.1690,1,1.0450,0
6000 taxa,6000,random_tree_0083,749.0000,1,1.0583,0
6000 taxa,6000,random_tree_0084,192.5484,1,1.4560,0
6000 taxa,6000,random_tree_0085,374.0000,1,1.4763,0
6000 taxa,6000,random_tree_0086,180.8182,1,1.2371,0
6000 taxa,6000,random_tree_0087,1999.0000,1,1.2962,0
6000 taxa,6000,random_tree_0088,31.7869,0,1.4291,0
6000 taxa,6000,random_tree_0089,199.0000,1,1.3006,0
6000 taxa,6000,random_tree_0090,1499.0000,1,1.1246,0
6000 taxa,6000,random_tree_0091,199.0000,1,1.1513,0
6000 taxa,6000,random_tree_0092,599.0000,1,1.0513,0
6000 taxa,6000,random_tree_0093,19.3390,1,1.6906,0
6000 taxa,6000,random_tree_0094,37.9610,0,1.0318,0
6000 taxa,6000,random_tree_0095,999.0000,1,1.0195,0
6000 taxa,6000,random_tree_0096,999.0000,1,2.0030,0
6000 taxa,6000,random_tree_0097,27.9855,1,1.0768,0
6000 taxa,6000,random_tree_0098,1999.0000,1,1.0485,0
6000 taxa,6000,random_tree_0099,11.1457,0,1.0520,0
6000 taxa,6000,random_tree_0100,8.3168,1,1.8369,0
