cohort,tree,p,nmi_L,nmi_B,ari_L,ari_B,agreement_L,agreement_B,dot_L,dot_B,nmi_gt_L,nmi_gt_B,ari_gt_L,ari_gt_B,agreement_gt_L,agreement_gt_B,sign_L
1000 taxa,random_tree_001,0.0001,0.000283,0.000280,-0.001742,0.001562,99.200000,68.900000,0.001694,0.007752,0.000501,0.000437,-0.003099,-0.002851,99.100000,99.300000,26.000000
1000 taxa,random_tree_001,0.000631,0.003456,0.014578,0.002060,0.009828,67.100000,69.400000,0.021399,0.129829,0.000380,0.000396,0.001035,-0.002663,67.000000,99.400000,46.000000
1000 taxa,random_tree_001,0.003981,0.000236,0.002037,-0.001598,0.017534,99.500000,65.900000,0.003340,0.073014,0.000396,0.001327,-0.002663,-0.003423,99.400000,88.100000,89.200000
1000 taxa,random_tree_001,0.025119,0.000179,0.353170,-0.001334,0.455223,99.700000,83.900000,0.004184,0.877231,0.000278,0.002875,-0.002000,-0.001466,99.600000,61.100000,23.300000
1000 taxa,random_tree_001,0.158489,0.000127,0.537953,-0.001001,0.678504,99.800000,91.400000,0.004748,0.991759,0.000179,0.002333,-0.001334,-0.002209,99.700000,69.000000,51.200000
1000 taxa,random_tree_001,1,1.000000,1.000000,1.000000,1.000000,100.000000,100.000000,1.000000,1.000000,0.000179,0.002346,-0.001334,-0.002192,99.700000,68.800000,100.000000
1000 taxa,random_tree_002,0.0001,0.000270,0.002638,-0.001709,0.004009,99.300000,69.700000,0.001659,0.006443,0.000633,0.000442,-0.003988,-0.002997,99.100000,99.400000,42.800000
1000 taxa,random_tree_002,0.000631,0.012734,0.001047,0.014427,0.002869,89.300000,69.600000,0.035968,0.061801,0.001893,0.000518,-0.005151,-0.003423,88.900000,99.300000,48.000000
1000 taxa,random_tree_002,0.003981,0.000236,0.043971,-0.001598,0.104565,99.500000,71.300000,0.000719,0.078299,0.000518,0.002035,-0.003423,-0.005028,99.300000,87.000000,84.900000
1000 taxa,random_tree_002,0.025119,0.000179,0.541238,-0.001334,0.654797,99.700000,90.600000,0.005108,0.906814,0.000345,0.003960,-0.002399,-0.002627,99.500000,63.900000,31.600000
1000 taxa,random_tree_002,0.158489,0.000179,0.955181,-0.001334,0.979628,99.700000,99.500000,0.031095,0.991598,0.000345,0.003478,-0.002399,-0.003286,99.500000,68.800000,34.500000
1000 taxa,random_tree_002,1,1.000000,1.000000,1.000000,1.000000,100.000000,100.000000,1.000000,1.000000,0.000212,0.003432,-0.001499,-0.003348,99.600000,69.300000,100.000000
1000 taxa,random_tree_003,0.0001,0.000270,0.001858,-0.001709,0.004994,99.300000,74.500000,0.001130,0.038699,0.001161,0.000886,-0.006820,-0.005308,98.600000,98.800000,6.100000
1000 taxa,random_tree_003,0.000631,0.000552,0.008587,-0.001831,0.017435,93.000000,74.700000,0.005699,0.118173,0.003859,0.001574,-0.013364,-0.008822,92.300000,98.200000,48.400000
1000 taxa,random_tree_003,0.003981,0.000255,0.019864,-0.001663,0.061012,99.400000,74.400000,0.000952,0.179894,0.001031,0.003555,-0.006123,-0.013271,98.700000,93.500000,4.200000
1000 taxa,random_tree_003,0.025119,0.000179,0.910114,-0.001334,0.954040,99.700000,98.900000,0.008936,0.933097,0.000527,0.007943,-0.003184,-0.009890,99.000000,72.600000,24.600000
1000 taxa,random_tree_003,0.158489,0.000179,1.000000,-0.001334,1.000000,99.700000,100.000000,0.055211,0.993699,0.000527,0.007702,-0.003184,-0.010197,99.000000,73.700000,35.300000
1000 taxa,random_tree_003,1,1.000000,1.000000,1.000000,1.000000,100.000000,100.000000,1.000000,1.000000,0.000295,0.007702,-0.001768,-0.010197,99.100000,73.700000,100.000000
