cohort,tree,p,nmi_L,nmi_B,ari_L,ari_B,agreement_L,agreement_B,dot_L,dot_B,nmi_gt_L,nmi_gt_B,ari_gt_L,ari_gt_B,agreement_gt_L,agreement_gt_B,sign_L
1000 taxa,random_tree_001,0.0001,0.000283,0.000280,-0.001742,0.001562,99.200000,68.900000,0.001694,0.007752,0.000501,0.000437,-0.003099,-0.002851,99.100000,99.300000,26.000000
1000 taxa,random_tree_001,0.001,0.000566,0.000001,-0.001821,0.000074,92.500000,68.400000,0.004835,0.032133,0.001106,0.000670,-0.003596,-0.003510,92.400000,98.200000,48.400000
1000 taxa,random_tree_001,0.01,0.000179,0.001805,-0.001334,0.004499,99.700000,54.100000,0.000823,0.033775,0.000278,0.000028,-0.002000,0.000069,99.600000,54.900000,12.000000
1000 taxa,random_tree_001,0.1,0.000127,0.567270,-0.001001,0.694138,99.800000,91.800000,0.005988,0.984843,0.000179,0.002539,-0.001334,-0.001930,99.700000,65.800000,50.100000
1000 taxa,random_tree_001,1,1.000000,1.000000,1.000000,1.000000,100.000000,100.000000,1.000000,1.000000,0.000179,0.002346,-0.001334,-0.002192,99.700000,68.800000,100.000000
1000 taxa,random_tree_002,0.0001,0.000270,0.002638,-0.001709,0.004009,99.300000,69.700000,0.001659,0.006443,0.000633,0.000442,-0.003988,-0.002997,99.100000,99.400000,42.800000
1000 taxa,random_tree_002,0.001,0.000270,0.007654,-0.001709,0.010568,99.300000,69.900000,0.006807,0.074569,0.000633,0.000679,-0.003988,-0.004184,99.100000,99.000000,46.600000
1000 taxa,random_tree_002,0.01,0.000179,0.084486,-0.001334,0.015090,99.700000,58.300000,0.002012,0.368632,0.000345,0.003992,-0.002399,-0.002584,99.500000,63.600000,22.300000
1000 taxa,random_tree_002,0.1,0.000179,0.842607,-0.001334,0.912121,99.700000,97.800000,0.003252,0.984846,0.000345,0.003581,-0.002399,-0.003147,99.500000,67.700000,30.600000
1000 taxa,random_tree_002,1,1.000000,1.000000,1.000000,1.000000,100.000000,100.000000,1.000000,1.000000,0.000212,0.003432,-0.001499,-0.003348,99.600000,69.300000,100.000000
1000 taxa,random_tree_003,0.0001,0.000270,0.001858,-0.001709,0.004994,99.300000,74.500000,0.001130,0.038699,0.001161,0.000886,-0.006820,-0.005308,98.600000,98.800000,6.100000
1000 taxa,random_tree_003,0.001,0.000712,0.007451,-0.001688,0.012599,86.700000,74.700000,0.004960,0.082288,0.005208,0.001161,-0.012860,-0.006820,86.000000,98.600000,55.600000
1000 taxa,random_tree_003,0.01,0.000179,0.248914,-0.001334,0.383434,99.700000,81.900000,0.002383,0.381739,0.000527,0.002138,-0.003184,-0.005198,99.000000,69.200000,12.100000
1000 taxa,random_tree_003,0.1,0.000127,1.000000,-0.001001,1.000000,99.800000,100.000000,0.063804,0.988384,0.000295,0.007702,-0.001768,-0.010197,99.100000,73.700000,48.400000
1000 taxa,random_tree_003,1,1.000000,1.000000,1.000000,1.000000,100.000000,100.000000,1.000000,1.000000,0.000295,0.007702,-0.001768,-0.010197,99.100000,73.700000,100.000000
