================================================================================
Experiment Log Started: 2026-09-08 19:24:24
================================================================================

[19:24:24] BOOTSTRAP_SWEEP | INFO | 1000 taxa: 0/2 cached, 2 to run, p=0.01..1, reps=2
[19:24:28] BOOTSTRAP_SWEEP | INFO | random_tree_001: loaded m=1000, true-tree top split 998/2
[19:24:28] P_SWEEP_INNER | WARNING | k-means split smaller side 1 < min_split 5
[19:24:28] P_SWEEP_INNER | WARNING | k-means split smaller side 2 < min_split 5
[19:24:28] P_SWEEP_INNER | WARNING | k-means split smaller side 1 < min_split 5
[19:24:28] BOOTSTRAP_SWEEP | INFO | random_tree_001: L(S) reference split 1/999 (eta=999.00)
[19:24:28] BOOTSTRAP_SWEEP | INFO | random_tree_001: B reference split 690/310 (eta=2.23)
[19:24:28] BOOTSTRAP_SWEEP | INFO | [1/2] random_tree_001 done in 5 s (elapsed 0.00 h, ETA 0.00 h)
[19:24:33] BOOTSTRAP_SWEEP | INFO | random_tree_002: loaded m=1000, true-tree top split 997/3
[19:24:33] P_SWEEP_INNER | WARNING | k-means split smaller side 1 < min_split 5
[19:24:33] P_SWEEP_INNER | WARNING | k-means split smaller side 2 < min_split 5
[19:24:33] P_SWEEP_INNER | WARNING | k-means split smaller side 2 < min_split 5
[19:24:33] BOOTSTRAP_SWEEP | INFO | random_tree_002: L(S) reference split 1/999 (eta=999.00)
[19:24:33] BOOTSTRAP_SWEEP | INFO | random_tree_002: B reference split 304/696 (eta=2.29)
[19:24:33] BOOTSTRAP_SWEEP | INFO | [2/2] random_tree_002 done in 5 s (elapsed 0.00 h, ETA 0.00 h)
[19:24:33] BOOTSTRAP_SWEEP | INFO | 6000 taxa: 0/2 cached, 2 to run, p=0.01..1, reps=2
[19:25:31] BOOTSTRAP_SWEEP | INFO | random_tree_0001: loaded m=6000, true-tree top split 5944/56
[19:25:55] P_SWEEP_INNER | WARNING | k-means split smaller side 1 < min_split 5
[19:26:05] P_SWEEP_INNER | WARNING | k-means split smaller side 1 < min_split 5
[19:26:05] BOOTSTRAP_SWEEP | INFO | random_tree_0001: L(S) reference split 1934/4066 (eta=2.10)
[19:26:08] BOOTSTRAP_SWEEP | INFO | random_tree_0001: B reference split 2921/3079 (eta=1.05)
[19:26:08] BOOTSTRAP_SWEEP | INFO | [1/2] random_tree_0001 done in 95 s (elapsed 0.03 h, ETA 0.03 h)
[19:27:07] BOOTSTRAP_SWEEP | INFO | random_tree_0002: loaded m=6000, true-tree top split 5998/2
[19:27:32] P_SWEEP_INNER | WARNING | k-means split smaller side 1 < min_split 5
[19:27:48] P_SWEEP_INNER | WARNING | k-means split smaller side 1 < min_split 5
[19:27:48] BOOTSTRAP_SWEEP | INFO | random_tree_0002: L(S) reference split 9/5991 (eta=665.67)
[19:27:52] BOOTSTRAP_SWEEP | INFO | random_tree_0002: B reference split 2511/3489 (eta=1.39)
[19:27:52] BOOTSTRAP_SWEEP | INFO | [2/2] random_tree_0002 done in 103 s (elapsed 0.06 h, ETA 0.00 h)

================================================================================
Experiment Log Ended: 2026-09-08 19:27:52
================================================================================
