cohort,tree,p,nmi_L,nmi_B,ari_L,ari_B,agreement_L,agreement_B,dot_L,dot_B,nmi_gt_L,nmi_gt_B,ari_gt_L,ari_gt_B,agreement_gt_L,agreement_gt_B,sign_L
1000 taxa,random_tree_001,0.0001,0.000283,0.000280,-0.001742,0.001562,99.200000,68.900000,0.001694,0.007752,0.000501,0.000437,-0.003099,-0.002851,99.100000,99.300000,26.000000
1000 taxa,random_tree_001,0.001,0.000566,0.000001,-0.001821,0.000074,92.500000,68.400000,0.004835,0.032133,0.001106,0.000670,-0.003596,-0.003510,92.400000,98.200000,48.400000
1000 taxa,random_tree_001,0.01,0.000179,0.001805,-0.001334,0.004499,99.700000,54.100000,0.000823,0.033775,0.000278,0.000028,-0.002000,0.000069,99.600000,54.900000,12.000000
1000 taxa,random_tree_001,0.1,0.000127,0.567270,-0.001001,0.694138,99.800000,91.800000,0.005988,0.984843,0.000179,0.002539,-0.001334,-0.001930,99.700000,65.800000,50.100000
1000 taxa,random_tree_001,1,1.000000,1.000000,1.000000,1.000000,100.000000,100.000000,1.000000,1.000000,0.000179,0.002346,-0.001334,-0.002192,99.700000,68.800000,100.000000
1000 taxa,random_tree_002,0.0001,0.000270,0.002638,-0.001709,0.004009,99.300000,69.700000,0.001659,0.006443,0.000633,0.000442,-0.003988,-0.002997,99.100000,99.400000,42.800000
1000 taxa,random_tree_002,0.001,0.000270,0.007654,-0.001709,0.010568,99.300000,69.900000,0.006807,0.074569,0.000633,0.000679,-0.003988,-0.004184,99.100000,99.000000,46.600000
1000 taxa,random_tree_002,0.01,0.000179,0.084486,-0.001334,0.015090,99.700000,58.300000,0.002012,0.368632,0.000345,0.003992,-0.002399,-0.002584,99.500000,63.600000,22.300000
1000 taxa,random_tree_002,0.1,0.000179,0.842607,-0.001334,0.912121,99.700000,97.800000,0.003252,0.984846,0.000345,0.003581,-0.002399,-0.003147,99.500000,67.700000,30.600000
1000 taxa,random_tree_002,1,1.000000,1.000000,1.000000,1.000000,100.000000,100.000000,1.000000,1.000000,0.000212,0.003432,-0.001499,-0.003348,99.600000,69.300000,100.000000
6000 taxa,random_tree_0001,0.01,0.000599,0.486003,0.000367,0.593859,67.783333,88.533333,0.036080,0.935487,0.000057,0.002034,-0.000325,-0.000457,99.050000,51.350000,33.133333
6000 taxa,random_tree_0001,0.1,0.000206,0.736598,-0.000175,0.829285,67.750000,95.533333,0.062981,0.995516,0.000057,0.011630,-0.000325,-0.000581,99.050000,50.483333,77.983333
6000 taxa,random_tree_0001,1,1.000000,1.000000,1.000000,1.000000,100.000000,100.000000,1.000000,1.000000,0.010718,0.010435,-0.009395,-0.000568,66.833333,50.516667,100.000000
6000 taxa,random_tree_0002,0.01,0.000039,0.009060,-0.000300,0.001139,99.833333,52.900000,0.022056,0.096392,0.000024,0.000454,-0.000222,-0.000291,99.950000,63.950000,39.183333
6000 taxa,random_tree_0002,0.1,0.169917,0.832212,0.199493,0.903064,99.866667,97.516667,0.241410,0.977720,0.000024,0.000543,-0.000222,-0.000168,99.950000,57.200000,38.783333
6000 taxa,random_tree_0002,1,1.000000,1.000000,1.000000,1.000000,100.000000,100.000000,1.000000,1.000000,0.000070,0.000529,-0.000545,-0.000187,99.816667,58.116667,100.000000
