RUN_DIR: /Users/itayg/PythonRepo/spectral-tree-inference/sub_sampled_fielder_vec/results/20260519-004802-nj_sweep_kingman_L10000
NJ | INFO | Building ground truth (n=128, L=10000)...
NJ | INFO |   p = 1 (5 reps)
NJ | INFO |   p = 0.9 (5 reps)
NJ | INFO |   p = 0.5 (5 reps)
NJ | INFO |   p = 0.1 (5 reps)
NJ | INFO |   p = 0.05 (5 reps)
NJ | INFO |   p = 0.01 (5 reps)
NJ | INFO |   p = 0.005 (5 reps)
NJ | INFO |   p = 0.001 (5 reps)
NJ | INFO |   p = 0.0005 (5 reps)
NJ | INFO |   p = 0.0001 (5 reps)
NJ | INFO | Wrote results/20260519-004802-nj_sweep_kingman_L10000/n128_L10000/nj_meta.json + nj_arrays.npz (3.2s)
NJ | INFO | Building ground truth (n=256, L=10000)...
NJ | INFO |   p = 1 (5 reps)
NJ | INFO |   p = 0.9 (5 reps)
NJ | INFO |   p = 0.5 (5 reps)
NJ | INFO |   p = 0.1 (5 reps)
NJ | INFO |   p = 0.05 (5 reps)
NJ | INFO |   p = 0.01 (5 reps)
NJ | INFO |   p = 0.005 (5 reps)
NJ | INFO |   p = 0.001 (5 reps)
NJ | INFO |   p = 0.0005 (5 reps)
NJ | INFO |   p = 0.0001 (5 reps)
NJ | INFO | Wrote results/20260519-004802-nj_sweep_kingman_L10000/n256_L10000/nj_meta.json + nj_arrays.npz (21.4s)
NJ | INFO | Building ground truth (n=512, L=10000)...
NJ | INFO |   p = 1 (5 reps)
NJ | INFO |   p = 0.9 (5 reps)
NJ | INFO |   p = 0.5 (5 reps)
NJ | INFO |   p = 0.1 (5 reps)
NJ | INFO |   p = 0.05 (5 reps)
NJ | INFO |   p = 0.01 (5 reps)
NJ | INFO |   p = 0.005 (5 reps)
NJ | INFO |   p = 0.001 (5 reps)
NJ | INFO |   p = 0.0005 (5 reps)
NJ | INFO |   p = 0.0001 (5 reps)
NJ | INFO | Wrote results/20260519-004802-nj_sweep_kingman_L10000/n512_L10000/nj_meta.json + nj_arrays.npz (164.1s)
NJ | INFO | Building ground truth (n=1024, L=10000)...
NJ | INFO |   p = 1 (5 reps)
NJ | INFO |   p = 0.9 (5 reps)
NJ | INFO |   p = 0.5 (5 reps)
NJ | INFO |   p = 0.1 (5 reps)
NJ | INFO |   p = 0.05 (5 reps)
NJ | INFO |   p = 0.01 (5 reps)
NJ | INFO |   p = 0.005 (5 reps)
NJ | INFO |   p = 0.001 (5 reps)
NJ | INFO |   p = 0.0005 (5 reps)
NJ | INFO |   p = 0.0001 (5 reps)
NJ | INFO | Wrote results/20260519-004802-nj_sweep_kingman_L10000/n1024_L10000/nj_meta.json + nj_arrays.npz (1349.6s)
DONE /Users/itayg/PythonRepo/spectral-tree-inference/sub_sampled_fielder_vec/results/20260519-004802-nj_sweep_kingman_L10000
